사용자,평점,댓글 내용,감정
신상훈남,4,"이 영화는 청각을 끊임없이 자극하고 있다. 온갖 굉음은 기본이며 군중들이 웅성거리는 소리, 긴장감을 고조시키는 효과음, 몇 번이고 터져대는 폭탄들의 폭발음까지. 그리고 영화가 끝난 지금, 나는 그 중에서도 승조원들이 흐느끼는 소리들이 들린다. 비극을 앞두고 체념해버리는 청년들의 슬프고 처량한 울음소리들이 들린다. 어뢰 관련된 작전에 참여하며 들었던 수많은 굉음 혹은 이명보다, 아마 태성에게 가장 힘들었던 건 아직까지 그의 귓바퀴를 괴롭히는 전우들의 흐느끼는 소리가 아니었을까. 그래서 이 영화의 제목이 ‘데시벨’이 아닐까 싶다. 간만에 이렇게 눈이 아닌, 귀를 기울이며 영화를 본 것 같다.

이민기가 연기한 황 대위는 가장 먼저 집으로 돌아가고 싶었을 사람이었다. 아들을 보러 가야 함에도 불구하고 자신이 뽑은 실의 절반을 끊는다. ‘하고 싶다는 감정’을 배제하고 희생한다는 것. 짧은 실들을 뽑은 자들은 그의 존재만으로 위로가 되었을 것이다.

생각보다 좋았던 부분들이 많았던 만큼 역시나 안타까운 장면들도 상당히 많았다. 우선, ‘전태성’이라는 인물을 저토록 악하게 그려낼 필요가 있었을까 하는 아쉬움이 있다. 영화 후반부에 들어서야 여태껏 저질러왔던 악행이 ‘미화되는 과정’이 그려지는데, ‘이런 악당에게는 이러한 사연이 있었습니다’ 하는 설명이 하나도 설득력이 없었다는 게 문제이다. 전우들을 잃는다는 걸 저만큼이나 아파했던 사람이, 복수심을 품고 무고한 시민들까지 죽이려 들고, 이제는 칼까지 차고 다닌다. ‘이런 장르’의 영화들에서 ‘멋있어 보이는 옵션’들을 모조리 입력시켜놓은 느낌이 든다. 항상 가까스로 폭발을 막고, 마지막 육탄 전투에서도 패배했던 것들이 전부 태성의 ‘의지’대로였다면 어땠을까 하는 아쉬움이 있다.

또, 마지막 강중령이 사건을 해결하는 과정이 너무나도 쉽게 풀린다. 이것은 한국  영화의 고질병이며, 이는 너무나도 많이 느꼈었던 ‘뒷심 부족’ 현상이다. 견고하게 만들어졌던 이전의 장치들과는 달리 가장 공들여야 할 하이라이트의 미로 설계가 심히 부실했다. 당연히 ‘뭔가 다른 실마리가 있겠지’ 싶은 부분에서 바로 출구가 보이는 느낌이다. 뭐 이런 부분들도 촬영 기법이나 편집으로 최대한 보완이 가능한데, 그마저도 성의가 느껴지지 않는다. 그가 꼭대기에서부터 바닥까지 뛰어내릴 때 원테이크로 촬영되었으면 더 좋았을 것 같다. 분명 어려운 촬영일 테지만 이 감독은 ‘그거 찍기 힘들어~ 그냥 넘어가~’ 했을 것만 연출.

[이 영화의 명장면 🎥]

1. 놀이터

제 3의 요소들이 있다. 방해물 같은 것. 그런데 난 언젠가부터 이런 것들이 싫다. 태성이 수영장으로 전화를 걸어 사람들을 물 속으로 끌어들인다거나, 아파트의 오래된 창문을 여는 소리 때문에 폭발 장치가 반응한다거나- 이런 어설픈 방해 장치들 때문에 ‘아 뭔 일 안 일어나겠구나’ 무심코 안심하게 된다. 당연히 사건을 극적으로 만드려면 흐름을 속일 것이 필요한데, 아이러니하게도 그것으로 눈치를 채게 된다. 좋은 작품일수록 는치를 채는 것이 힘든 법인데, 이 영화는 그 흐름이 불 보듯 뻔했다.

하지만 이 장면의 ‘진미’는 바로 ‘캐릭터’다. 가족을 두고 협박하는 테러리스트에게 기죽지 않고 쌍욕을 날리며 죽음 앞에 결연한 사람과, 폭발을 막지 못할 것이라는 걸 알고 자신의 몸을 던져 폭발을 최소화하려는 사람. 둘 다 너무 완벽하고 멋있어서 온몸에 전율이 돋았던 장면이다. 왜 둘이 결혼했는지 알 것만 같았다.

2. 긴 실과 짧은 실

어려웠다. 생명에 ‘효율’이라는 표현은 도무지 접목이 되지 않았다. 무엇이 효율적인 생존이며, 어떤 것을 선택해도 ‘최선’이 아닌 ‘차선’이 되는 느낌. 감정을 앞세우면 모두가 죽을지도 모르는 상황. 그 상황에서, 강중령은 치밀어오르는 모든 감정들을 삭이고 22개의 긴 줄과, 22개의 짧은 줄을 만든다. ‘나라면 어떻게 했을까’ 22명을 살릴 수 있는 대신에 나머지 22명의 죽음을 바라보고만 있어야 힌다는 고통. 어쩌면 죽음보다 더 고통스러울지도 모른다. 한 명씩 긴 줄, 짧은 줄을 뽑고 모두가 자신의 처지를 한탄한다. 안도하는 사람은 한 명도 없었다. 경례하는 사람들 중, 그런 사람은 한 명도 없었다.

“울지 마십시오. 우린 품위있게 갈 겁니다.”

“우리가 쓰러지면 남은 자들이 더 힘들어집니다.”

영화 자체는 데시벨 폭탄 액션 잡극으로 표현되어있지만 다루고 있는 내용들은 생각보다 무거워서 놀랐다. 몇 번이고 관객이 극속으로 대입되어 여러 생각을 하게 해준다는 점에선, 비로소 ‘영화가 가진 힘’이 제대로 발휘되고 있는 것 같아 만족스러웠다.

“만약 다시 그 때로 돌아가신다면 어떤 판단을 내리실 겁니까?”",긍정
겨울비,2,의미없는 소재와 주제,부정
Random cul,1,"이런 배우들에 이런 시나리오로 이런 망작을 만들다니.
폭탄테러스토리냐 잠수함감동스토리냐 사이에서 설득시키려고 억지억지억지.
멋에 치중한다고 맛을 잃어버렸다.",부정
TERU,2,"Good : 존 맥티어난에 대한 존경심
Caution : 테러상황에 신파와 코미디는??",부정
타퇴엽절,2.5,"""소음에 반응하는 폭탄""이 초반부 관객들의 호기심을 자극하는데 성공했지만, 결국엔 굳이 그 폭탄을 왜 썼는지 잘 모르겠다~ 그보다 더 인상적이었던건, ""차은우""가 눈물을 흘리기 시작하자 팝콘통을 부여잡고 오열하던 울 부부 옆 여고생 3명..ㅠㅜ",중립
martie,2,테러인가 감동인가,부정
뚱이에요,1,소재에 대한 노력은 온데간데 없고 특정 사건에 대한 음모론과 감정을 강요하고있으니 역겹기 그지없다.,부정
영미남(영화에 미친 남자),3,"(59) 볶음밥의 재료는 훌륭한데, 잡탕밥이 된.
👍 : 김래원 배우의 호연과 안정감 있는 서사,
👎 : 코미디와 범죄 스릴러의 겉도는 조합,
스토리 11/20 연기 13/20 연출 10/20 재미 25/40",긍정
idaein,1.5,데시벨에서 '데'자를 그냥 갖다버린 감독.,부정
의식의흐름,2,"이것도 영화라고?
대. 시벨",부정
차칸수니리,2,관객들에게 생각할 문제와 배우들 군복은 잘 어울리지만 이종석의 '선택적 자비' 와 아리송한 흐름은 매우 아쉽다.,부정
1214,2.5,이럴거면 왜 제목이 데시벨일까.,중립
괴무리,2,천안함이 떠오르네,부정
SalmON,2,짬뽕과 냉면을 같이 먹는 기분,부정
미드나잇인파리,2,'생존'이라는 단어가 가진 이중성,부정
Gooson,1.5,"이런 영화 만들지
말라고 데시벨을
높여 소리치고 싶다",부정
Zelrick,3,"딜레마, 잘못고른 퍼즐
-----
림팩 훈련은 먼바다에서 해상과 공중의 적을 가상으로 놓고 반격하는 내용이다

-----
제목을 잘못 지은 느낌이다, 데시벨.
소리에 대한 폭발물과의 연관점 보다는 다른 제목이었다면 좀더 와닿았을까?
아니면 숨죽이며 뒤로 가는 그 부분을 데시벨 숨막히는 데시벨 뭐 그런걸로 좀더 특정했다면 어땠을까 싶다 물론 개인적 생각이다
-----
오랜만?에 스크린에서 보는 김래원 배우님 해바라기랑 연애 영화가 생각 나는 분이시지만 장교복? 군복이 참 잘 어울렸다 잠수함 승조원?부장? 으로의 역할을 아주 세밀하게 표현 책임감이랄지 폭탄을 마주하는 장면이라든지 이래서 배우구나..싶었다 어색하지 않아
-----
차은우와 형동생 사이 이종석, 크... 이종석 배우는 어디서나 미친?연기력이 너무 보기 좋다 광기일까? 차은우 분량은 쪼꼼 아쉽
-----
그냥 저냥 잠수함 영화 국산 잠수함 영화 빼빼로마냥 둘러 묻힌 그런 영화라고 생각하면 좋을듯 그래서 뭐가 더있?
-----
불호 갈릴지도-
개인적 쪼꼼 아쉽 300영화 그분의 헌터킬러 잠수함을 생각했지만 폭탄을 쫓는, ㄷㅏ이하드3 그 둘이 생각났던 영화",긍정
예비 작가 장시우,2,감정에 매몰돼서 너의 소리는 들리지가 않아,부정
김다베,1.5,데 시벨 진짜..,부정
dltcmal,,"필이 차르르왔어

망작의 필",알 수 없음
유권민,2,"다이하드3에 천안함 3스푼.
어설픈데 배우들은 매력적이다.",부정
그대의 눈동자에 Cheers,2,"22.11.17 1385번째 영화.

(De)cibel 같은 영화.",부정
SnoopCat,2,잠오는 데시벨. 정말 힘들게 꾸역꾸역 본 기억만 남음.,부정
개구리개,2,snl 코리아 김래원 편,부정
마르키토,2,"누구를 위한 복수인가
의미없는 데시벨 폭탄
갑자기 연리지 폭탄까지
그냥 터집니다. 욕이?!",부정
이송원,5,역시난 청개구리파. 왜 이영화를 욕하는거지? 충분히 재밌고 잘만든영화다. 남의 말보다 자신의 안목을 믿기를.,긍정
별빠,2,"일촉즉발, 폭탄 남발, 낡은 화법과 익숙한 공식, 개연성 무시와 생략의 뚝심, 그나마 건진 연기와 액션, 후반 갈수록 감각의 무뎌지기, 신파에 몰린 감정의 소용돌이, 내심 기대한 잠수함 밀리터리.",부정
park,2.5,진퇴양난의 상황을 갖다 쓰기 위해 이용만 당한 소재. 가뜩이나 들쭉날쭉인 톤에 기름을 붓는 되도 않는 개그 욕심.,중립
moviefi1m,2,소재가 참신한 것 빼곤 나머지는...,부정
솔샘,1.5,"용두사미. 범인 협박전화로 연속적으로 터지는 시한폭탄 쫓는다길래 다이하드3 같은 재미를 기대했는데... 갈수록 또잉??
.
각본 쓰시는 감독님들 감당 안되면 작가님에게 맡겨 주세요...",부정
감성적인너구리,1.5,대(大) 시벨(시X).,부정
롯데폐인,4,"누군가를 잃는다는건, 피가 마르고 살점이 떨어져 나가는거라고 했다. 이 영화는 복수의 관점으로만 봐서는 안되는, 살아남은 자들의 고통과 미안함이 담겨져 있다.",긍정
johnpaulmacqueen,0.5,와 정말 간만에 또 영상물 하나 걸렸네 젠장 이런 데…시벌….,부정
ㅠㄹ,2,이런 소재를 이렇게 밍밍하게 만드는 것도 능력이라면 능력.,부정
TK Lee,3,"다시 돌아간데도 그 선택이 맞지 않았을까.
군인은 선택하고 난 뒤 후회하지 않는다. ㅜㅜ
테러영화인데 왜 슬프다고 했는지 알겠네.",긍정
RAW,2,"누군가의 귀에서만 들을 수 있는 눈물의 데시벨
2/5점

공리주의에 대한 깊은 고찰을 바탕으로 관객에게 질문을 던지며 끝까지 달려나간다는 점에선 비상선언과 비교할 수 없을 정도로 후한 평가를 주고 싶지만

배 나무 아래에서 갓끈을 고쳐매는 것처럼 오해를 불러일으키는 연출과 소재는 아쉬움을 자아낸다.",부정
HBJ,2,"'데시벨'은 소리 볼륨에 폭발하는 폭탄 테러를 막으려는 전 해군 장교에 대한 액션 스릴러 영화다. 소리에 반응하는 폭탄이라는 소재를 내세우는 영화지만, 정작 이야기가 시작되면서는 그 소재를 아주 쉽게 버린다.

과거에 있었던 사건으로 여전히 고통받고 있는 해군들과 그들의 상관인 주인공으로 시작하는 영화는 의문의 전화, 그리고 시작되는 폭탄 테러로 전개되는 익숙한 모습을 보인다. 제목에서도 그렇고 많은 마케팅은 소리에 반응하는 폭탄이라는 소재를 내세우고 있고, 분명 그 점은 나름 창의적인 서스펜스를 연출하는데 요긴하게 쓰이긴 한다. 하지만 그 소재는 (이중적인 의미로) 노이즈 마케팅이었다. 결국 영화는 굉장히 만능인 빌런과 대결해야하는, '발신제한'과 비슷한 느낌이 있는 흔한 액션물이 된다. 여기다가 인물들의 행동이 좀 답답하고 멍청하게 보이는 순간들이 있어서 영화가 만들어내는 서스펜스 장면들의 절반 이상은 억지스럽게 느껴진다. 결국 신선한 소재에 이유를 주기는 커녕 이를 제대로 쓰지도 않은 실망스러운 모습을 보였는데, 그나마의 남은 뻔한 이야기도 쫄깃하게 이어가지 못한다.",부정
SceneJY,2.5,"(22.11.07 시사회)
기존의 영화들을 답습하며 희미했던 메시지는 끝끝내 드러나지 않고, 뭉개져 버렸다.",중립
DK,,"[22.11.16. 개봉]
[크랭크인/업 21.04.20.-2021.08.]
[제작비 120억원 / 손익분기점 약 240만명]",알 수 없음
J Kim,1.5,"영화 다 봤는데, 제목이 뭐였지?",부정
오경문,1.5,"야구경기장도 가득 차는 경우가 작은데 축구 경기장이 가득....?
직관 가보셨나요?
-22.11.24 메가박스 창원내서",부정
라씨에이,2,"4.7/과대 질소 포장해놓은 영화. 질소를 샀더니 과자가 딸려왔다는 드립을 이 영화에 적용시켰을 때, 양이 적어서 감질나는 과자는 후반부 잠수함에서의 딜레마 씬이었고, 질소는 사운드 테러 액션이라는 거창한 수식어의 초중반 및 결말 전반이라 볼 수 있겠음. 알맹이가 그래도 꽤 볼 만하긴 했으나 분량이 적어서 영 아쉬웠고, 이 알맹이를 포장하기 위해 배치한 김래원과 이종석의 대결 구도 전개는 아무 것도 느껴지지 않는 질소처럼 액션스릴러 장르로서의 긴장감이나 쾌감, 재미 등을 거의 느낄 수 없었음.
/
초반부터 너무 난데없는 타이밍에 협박범의 전화가 오는데 이건 내가 저 전화를 받았어도 그냥 개무시했겠다 싶을 정도로 전혀 경고처럼 느껴지질 않았음. 근데 고작 그 전화 한 통 외엔 제대로 된 기회도 주지 않아놓고 다짜고짜 첫 번째 폭탄을 터뜨려버림. 그래도 여기까진 관심을 집중시키기 위한 초반 어그로용 전개라 치고 넘어갈 순 있겠으나, 문제는 이후에도 이 협박범이란 작자는 뭐가 뭔지 제대로 설명도 안하고 자기 혼자 사연있는 테러범 놀이에 심취해서는 자비없이 막 저질러 댐. 이게 어느정도는 성공할 것 같다 싶은 가능성을 열어둔 상태에서 몰아붙여야 주인공이 아슬아슬하게 실패 혹은 성공하는 모습을 보며 긴장감도 느끼고 할텐데 주인공한테 미션이 주어져봤자 어차피 협박범이 자기 꼴리는 대로 해버리기 일쑤이니 긴장감을 도저히 느낄 수가 없었음. 마찬가지로 어느정도 규칙이나 조건을 정해놨으면 그걸 좀 제대로 지켜주면서 흘러가야 안정적으로 집중을 할 텐데, 이건 뭐 주인공들이 간신히 미션 성공에 가까워지면 갑자기 말을 바꾸고, 훼이크를 주고, 직접 나서서 훼방도 놓는 등, 너무 맥락없이 제멋대로이니 흥미진진은 커녕 어린애의 악의적인 변덕과 투정을 받아줘야 하는 느낌이 들어서 장르적으로 재미라는 걸 느끼기가 힘들었음.
/
예고편 및 마케팅에서 적극 어필한 데시벨 시한 폭탄이라는 흥미로웠던 소재는 극중 쓰임새를 봤을 때 사실상 철저하게 어그로용이었다는 게 일찌감치 드러나 버려서 중반부 접어들 때쯤부터는 이미 흥미가 떨어진 상태로 영화를 봐야 했음. 잠수함에서의 사건과 데시벨 폭탄 사이에 연관성이래봤자 '소리'가 중요하다는 것 밖에는 없는데, 그마저도 사실 잠수함에서 벌어진 사건의 본질과는 딱히 연결지을 건덕지가 없어서 핵심적으로 다룬 이야기와 장르적으로 써먹은 소재가 제대로 호응하질 못함.
/
더불어 주인공은 왠 출처도 모르는 장난전화 같은 전화 한 두 통 받은 걸로 마치 날 때부터 지금까지 이 일을 하기 위해 살아온 사람 마냥 금새 순응하고 협박범 말대로 충실하게 움직임. 주인공이 일단은 믿지 않았다가 점차 심상치 않다는 걸 느끼고선 그제서야 협박범 말대로 움직이기 시작하는 식의 클리셰스럽긴 해도 합리적으로 들어가 있어야 하는 중간단계를 빼먹은 모양새라 되게 인위적으로 흘러가는 느낌이었음.
/
주인공의 조력자로 등장하는 오대호 기자가 주인공의 미션에 합류하게 되는 계기도 어이가 없음. 상식적으로 아무리 기자라 해도 아들과 함께 있는 상황에서 폭발물이 터지는 광경을 목격했으면 그냥 다 쌩까고 집으로 튀는 게 맞아 보이는데, 하다못해 특종에 눈이 멀었다든지, 정의감에 불타오르는 성격이라든지 하는 설명이나 기타 납득할 만한 이유를 제시하지도 않은 채로 그냥 어버버하더니 따라다님;;; 거기다 이후로는 마치 둘이 오랫동안 알고지낸 사이인 것처럼 주인공의 지시에 군말없이 착착 움직이고, 자기 친조카라도 된 것 마냥 주인공 딸을 보고 설영아, 설영아 거리면서 목숨까지 걸고 애지중지 지켜줌. 차라리 그냥 둘이 원래부터 친한 친구 사이인데 우연히 경기장에서 만났다는 설정이라면 그래도 납득이 가능했을 것 같음.
/
도대체 막판에 둘이 왜 싸운 건지 이해가 안 됨. 분명 아내랑 딸 중에 누굴 살릴 건지 결정하라고 체념한 듯 조끼까지 벗어주는데, 그래놓고 이종석은 김래원을 안 보내주고, 김래원은 조끼고 뭐고 일단 이종석한테 달려듦. 불가피한 상황을 만들어서 자연스럽게 이종석을 처리하는 게 목적이었는지, 급박한 타임어택 상황을 조성해서 김래원이 옥상에서 바닥까지 다이빙한 뒤에 차 끌고 카페로 돌진하는 액션씬을 찍는 게 목적이었는지, 하여튼 답답하고 좀 작위적인 느낌도 드는 전개였음.
/
긴장감과 장르적 재미를 제대로 전하지 못한 이종석과 김래원의 대결 구도 액션 스릴러 전개보단 후반부에 회상의 형식으로 보여줬던 잠수함 씬이 훨씬 더 흥미롭고 인상적이었음. 합리를 위시한 생존과 대의를 위한 희생 사이의 딜레마를 의외로 꽤 그럴 듯하게 다루고 있는데, 고작 제비뽑기로 뽑은 실의 길이 때문에 생사가 결정되는 모습부터 해서 곧 죽으러 들어가야 하는 인원들의 막대한 두려움과 일단은 생존할 수 있게 된 인원들의 심리적 부담감을 배우들이 짧지만 인상적으로 연기해준 덕에 그 상황에 제대로 몰입할 수 있었음. 데시벨 감지 폭탄으로 협박과 테러를 벌인다는 소재는 그냥 다른 영화에 양보하고, 대신 잠수함 속에서 생존을 위해 벌어지는 사건들을 중점적으로 다루는 생존 스릴러 영화를 만드는 게 차라리 더 나았을 것 같음. 여간 까다로운 게 아닐 것이고, 당연히 쉽지도 않겠지만 그래도 이 영화보단 나은 결과물이 나올 가능성도 있었을 테니.
/
대사가 너무 안 들렸음. 초반 잠수함 어뢰 추격씬 같은 경우야 전문적인 용어도 많이 나오고 긴박한 상황인 걸 이미 알고 있으니 대사가 안 들려도 어림짐작해서 파악하는데 큰 어려움이 없었지만, 주변 소음도 딱히 없는 대화 장면에서마저 수시로 대사가 뭉개지고 있으니 그때그때 바로 상황을 파악하기가 영 쉽지 않았음. 특히 이종석이 대사칠 때가 제일 심했는데, 수화기 너머로 들려오는 목소리는 말할 것도 없었고, 직접 등장해서 입모양까지 보이는 상태로 말을 하고 있어도 불분명하게 들리는 경우가 많았음. 더욱이 이종석이 맡은 전태성이란 캐릭터 특성상 의미심장하거나 격한 감정이 담겨있는 대사가 많았는데, 거의 반반 확률로 들렸다 안 들렸다를 반복하고 있으니 '대체 뭐라고 하는 거야'란 식의 잡다한 불만이 생겨서 몰입도 자주 끊기게 되고, 정보 전달도 제대로 되질 않는 등, 여러모로 상당히 불편했음. 배우의 발음 문제로 보이진 않고 뭔가 녹음 과정에서부터 문제긴 좀 있지 않았나 싶었고, 정말 자막이 절실하다 느꼈음.
/
정상훈이 연기를 못하는 배우라 생각하진 않는데, snl 등으로 다져진 그의 코믹한 연기와 시종일관 심각하고 긴박한 분위기로 흘러가는 이 영화는 전혀 어울리지 않았음. 다들 정색 빨고 웃음기 없이 진지한 표정으로 움직이는 와중에 특유의 궁시렁거리는 말투와 무기력하게 받아들이는 표정을 지으며 등장할 때마다 끊임없이 개드립을 날리는데, 적어도 이 영화에서 터질 법한 개그는 아니었다 봄. 그리고 솔직히 개인적으론 좀 철 지난 구닥다리 개그 스타일이라 느껴지기도 해서 그냥 별로였음.
/
이종석이 연기를 못하는 배우라 생각하진 않는데, 후반부 잠수함 제비뽑기씬을 제외한 거의 모든 장면에서 좀 틀에 박힌 오글거리는 연기를 하고 있다 느껴졌음. 특히 정신과 의사로 보이는 사람 앞에서 광란의 독백쇼를 보여줄 땐 정말 별다른 감흥 없이 그저 오글거리고 당황스럽기만 해서 극과는 동떨어져 있던 정상훈 배우의 오버 개그 연기보다도 더 최악이었음.
/
차은우가 배우로서 제대로 연기하는 모습을 보는 건 이번 영화가 처음인데 생각보다 훨씬 안정적인 연기를 보여줬음. 특히 제비뽑기 결과를 받아들임에 있어 두려움과 사명감이 뒤섞인 복잡한 심경을 설득력있는 표정연기로 표현해내는 모습이 인상적이었고, 그 표정을 한 상태로 두려워하는 동료를 일으켜 세우며 우리가 울면 남는 자들이 더 괴로워진다는 식의 대사를 칠 땐, 되게 평소의 건실한 이미지와 캐릭터가 너무 찰떡같이 맞아떨어져서 깊이 몰입할 수 있었음.
/
박병은 존재감 너무 아쉬웠음. 초반 정부쪽 사람으로서 주인공한테 사사건건 훼방놓는 빌런 역할을 할 것처럼 나름 있어보이게 등장했는데, 이후 이종석한테 속수무책으로 당하더니 어느새 주인공 의존형 조력자로 변해있고, 그렇게 어영부영 있는둥 마는둥 흘러가다 막판 총질 한 방을 끝으로 그 역할을 다하고 흐지부지 퇴장함.",부정
Gewjanggaak,2.5,생각보다 플롯 자체는 무난하고 덜컹거리지 않는다. 다만 세상 개연성이란 개연성은 죄다 휘발됐다는게 문제. 하아 개연성무새가 되고싶진 않았는데ㅠ,중립
배성진,2,제목과 주제가 맞지 않을때 벌어지는 대혼란,부정
수콩,2.5,빛 바랜 설정 위 납작한 캐릭터들의 열연에 마치 내가 대신 잠수함에 갇힌 듯하다.,중립
밖에비온다,2.5,가볍게 즐기려고 봤는데 너무나도 무거워지는 분위기에 당황,중립
진세연,5,안녕하세요.배우진세연입니다.데시벨영화가드디어나왔습니다.저는수요일에데시벨영화보러갈예정이랍니다.데세벨못본지오래됐지만.그래도열심히보겠다는생각입니다.데시벨오늘이든.내일이든.언제든지응원하겠습니다.하루중에데시벨가장보고싶은시절.지금꼭보시기바랍니다.감사합니다.배우진세연올림,긍정
킴지,2,﻿터지지는 못하고 소란스럽기만,부정
너른벌  김기철,2,"괜찮을 소재를 망작을 만드는것도 재주네.

데시벨은 왜 제목인데?

#026.2023.06.14.넷플릭스",부정
랩퍼 M군,1.5,신파영화 제발좀 그만,부정
김용규,2,폭탄 설계만큼 영화도 잘 설계했더라면.,부정
민트초코❤️,2,일단 여러 일들이 많이 생각이 났었고 비상선언 2를 보는듯한 후반부는 정말 최악이었습니다. 이종석 배우의 대사가 거의 들리지 않은 부분과 차은우의 분량 사기등이 참 아쉬웠던 부분이었습니다. 사운드 테러 액션이라고 홍보를 하였지만 대사가 거의 들리지 않았고 테러를 일으키는 범인의 정체 또한 너무 쉽게 알려줘서 아쉬웠습니다. 그리고 후반부에 나오는 신파 장면은 흥행을 노리고 넣은 느낌이 많이 들었는데 신파도 신파 나름이어야 운다는 것을 알아주셨으면 좋겠습니다.(이상희 배우의 연기가 인상적이었습니다.),부정
김민재,2.5,좋은 소재를 이렇게 만들다니...,중립
udoong,1.5,처음부터 끝까지 다 별로라서 뭐라고 써야할지 모르겠음,부정
황민철,2.5,"소리만 요란한 사운드 테러 액션 스릴러. ""시끄러워지면 폭발한다""라는 신선한 설정으로 만든 흥미가 이런저런 무리수와 진부하고 전형적인 캐릭터와 연출로 집중력을 잃고야 만다. 과도한 설명과 감정의 과잉, 부족한 개연성은 폭탄이 언제 터질까에 대한 긴장감마저도 흐지부지하게 만들어버렸다. 과거의 이야기와 널뛰는 감정선이 영화가 가진 그 어떤것보다 중요해지는 순간 영화는 갈피를 잃고 나뒹굴고야 만다. 빈수레가 아니라 잡스러운게 너무 많이 실려서 더 요란했던 작품.",중립
이용희,1,"딜레마.

타이틀을 데시벨이라 걸고 폭탄의 작동 원리가 데시벨인 것을 거듭 강조하는데, 그 이유가 딱히 없다. 꼭 있어야 되는 것은 아니지만 뭔가 있을 것이라 기대한 입장에선 다소 허무하다. 더 큰 문제는 테러 동기에 공감이 힘들다는 점이다. 강도영 부함장의 선택은 딜레마 속에서 나름의 최선이었으며, 결과적으로도 최상을 이끌어냈기 때문이다.
어쩌면 감독이 진짜 말하고 싶은 것은 대한민국의 안전불감증이었을지도 모르겠다. 폭탄이 있다고 하면 도망 좀 가자...
2023년 2월 4일에 봄",부정
이진훈,1,트롤리 딜레마를 명분 삼아 전체주의적 희생을 영웅시하는 배달의 기수,부정
Keep,2,"제작진이 관객을 얕잡아보는게
스크린을 뚫고 느껴진다",부정
레빗구미,2,왜 소리 폭탄을 써서 테러를 하는지 끝까지 설명해내지 못한다,부정
낡은호출기,2.5,청력이던 시각이던 긴장강요의 타이머 째깍째깍,중립
정한진,3,"기대치가 낮아서 생각보다 볼만했음.
강철비2에서 잠수함 뽕 맛보고 가져온듯한 장면이 좀 보이는듯.
나라를 지키다 순국한 국군장병들에게 경례를.",긍정
