사용자,평점,댓글 내용,감정
윤제아빠,3,"의외네...이거..
선입견을 완전히 해소하진 못했지만
괜찮은 카체이싱과 액션 그리고 빼어난 배우들의 연기는 칭찬받을 만하다.
단지 다리위에서 급격히 변한 은하의 감정선이 좀 갑작스럽긴 한데..
뭐 킬링타임 영화로는 꽤 괜찮다.
.
.
#베이비드라이버에다
#건파우더밀크쉐이크
#두영화를믹스했는데
#보는동안잊고볼만큼
#몰입도는충분했었다
#송새벽연기하나는짱
#개연성은접어두자구
#너무분석말고좀즐겨",긍정
박서하,2.5,감정의 폭이 깊어질수록 오락의 재미는 반감된다.,중립
다솜땅,3.5,"박소담의 와일드한 매력! ㅎ
그리고 감성+부+모성애 자극 연기!
마지막으로 자극적인 악당과 안타가운 사연 담아서 흑백의 한가운데 그래이색을 만들어버렸네…ㅎ
#22.2.4 (135)",긍정
JY,2,"아무리 지멋대로 망하더라도
아역 하나는 어떻게든 건져내 희석시키는게
요즘 트렌드이거늘...
그마저도 이작품은 시원~하게...

어른들이 나쁜놈들이지
현준님 잘못은 아니에요",부정
bin,3.5,"박소담이 레옹, 원빈, 라이언 고슬링이 되니까 그 흔해빠진 한국영화 조폭 감성도 참을 만하고 봐줄 만하다",긍정
황재윤,2,익숙한 설정들을 죄다 끌어 모아서 마치 개성 넘치다는듯 포장한거 같다.,부정
리얼리스트,2,청승맞은 이야기와 추격전  사이에서 갈팡질팡,부정
겨울비,3,"한국판 드라이브 박소담이 좀 더 강하게 연기해
줬으면

+ 나도 저렇게 운전 잘하고 싶다 평행주차를 어떻게 한방에 넣지",긍정
콩까기의 종이씹기,2,"이미 보았던 구간들만 골라서 밟아가는 짜깁기 드라이버.

+) <베이비 드라이버> + <내가 죽기를 바라는 자들> + <로건>에 얄팍한 페미니즘과 지루함을 끼얹어서 노잼을 만들었다.",부정
ㅠㄹ,1.5,한국은 계속 해서 새로운 시도라고 하며 할리우드의 익숙함을 베끼려 한다.,부정
Dh,1.5,"수단방법 가리지 않는다는 이영화.. 하.. 우짤끼고
#할많하않
#롯데시네마+C31C30:C32C26:C32C22C30:C32C25:C32C22C30:C32C23:C32C22C30:C32C19:C32C22C30:C32C17:C32C22C30:C32C16:C32C22C30:C3C30:C32",부정
P1,2,"소담이 헤어스타일 보는 재미뿐

<어디갈 레옹>,<니가 타> 처럼
배송 관련 영화는 뤽 배송아니면 찍지마라..",부정
뚱이에요,1.5,"보기 민망할 정도로 어슬픈
[베이비 드라이버]의 'K-패치'.
그와중에 당당한 속편 예고는
[뺑반]급 오만함까지.",부정
김혜리 평론가 봇,3.5,"액션, 카체이스, 캐릭터의 합. 약속한 즐거움을 확실히 배송한다",긍정
DarthSkywalker,2,범죄 전문 드라이버의 공식은 있는 거 전부 싸그리 베껴온 게으른 영화.,부정
Random cul,2.5,"뻔한 스토리에 비해 실력으로 밀어서 나쁘지않았다.
아이가 무슨 잘못이겠냐만.... 여기선 아이가 잘못했다.
재밌으려 하면 흐름을 깬다..",중립
주령,2,"뭣이 중헌지도 모르고

애 데리고 이런 싸구려 감정팔이 좀 그만합시다

초반 10분>영화 전체
호텔 엘리베이터 씬까지만 해도 간만에 볼만한 추격자, 악역 나왔다고 좋아했었는데",부정
Lemonia,2,"어쩔 수 없이 내던져진 상황에서 우리는 선과 악을 표면적인 모습만으로 쉽게 판단할 수 있을까? 살기 위해서 자신만의 방식을 선택한 이들에게서 보이는 공통점은 바로 사회가 만든 기준에 못 미치는 사람들이라는 점이다. 선과 악, 서로가 위치하는 곳을 떠나서 어딘가 하나씩 결핍된 이들은 서로를 의지하고, 서로가 서로에게 없는 것을 발견하고 채워주는 존재로써 말이다. 이런 장르의 영화들은 태생적으로 한계 탓도 있다. 빠르게 소비되므로 참신하기가 어렵다. 그래서 새로운 캐릭터들을 쓰려고 하지만, 캐릭터로도 한계가 보이는 지점에 다다랐다. 자신이 원하는 삶을 선택해서 살아가는 모습은 온 데 간 데 사라지고, 이상한 남자들에게 둘러싸여 고통받는 주인공의 모습에서 영화는 진부한 길을 스스로 선택하고 만다. 자동차 액션의 장점을 살리지 못하고, 진부한 결말로 저속 주행으로 달려간다.",부정
HBJ,1.5,"'특송'은 범죄자들의 드라이버인 주인공이 복잡한 사건에 휘말리며 경찰의 추격을 받게 되는 액션 영화다. 박소담 배우라는 확실한 스타 주연은 있지만, 아무리 스타라고 해도 이 영화의 난장판을 수습하기엔 역부족이었다.

설정 때문에 차량 액션에 있어서는 꽤 높은 기대감이 있었는데, 그 부분은 이 영화의 확실한 강점이긴 하다. '드라이브'의 사실적이고 무거운 톤과는 거리가 멀고, '베이비 드라이버'처럼 조금은 과장되고 유쾌한 느낌이 있는 스턴트들을 선보이는 이 영화는 주인공의 주무기라고 할 수 있는 차를 아주 능숙하고 재치있게 사용하는 액션을 긴박감과 호쾌함 있게 연출한다. 만약에 차량 액션 씬들이 더 많았다면 그래도 오락성에 있어서는 만족했을 것 같은데, 문제는 이 좋은 시퀀스들이 중반부 이후부터는 끊긴다는 것이다.

그 외에 이 영화는 총체적인 난국이다. 주인공과 조연들에게 나름대로의 사연들을 주긴 하지만, 이는 정말 설정만 딱 던져줄 뿐이지 이를 통해 이들의 캐릭터성이나 감정적인 핵심들을 파고 들지 못하기 때문에 결국 영화의 이야기가 거의 완전히 의존하는 주인공과 아이의 관계가 굉장히 억지스럽거나 피상적으로 느껴진다. 거기에 더해 뒤로 가면서 주인공에 대한 설정이 너무 괴상해지면서 완전히 B급 영역의 이야기가 돼야하는 데도 한국식 느와르 스릴러에 더 가깝게 연출이 되면서 영화의 톤 자체가 망가져버린다. 송새벽 배우만 봐도 배우들이 이 영화를 재미있고 좀 더 가벼운 느낌의 액션 오락으로 접근하려는 듯하며 그에 따라 과장된 성격파 연기를 하는 것 같고, 음악 또한 레트로한 하우스 느낌의 음악과 팝을 통해 가벼운 느낌을 내려는 것 같으넫 그에 비해 영화의 연출은 너무 무겁게 가져가려고 하니 이 모든 것들이 정면충돌하며 영화를 찌그러뜨렸다.",부정
Magnolia,2.5,위대한 영화들이 수립한 클리셰를 그저 따라가기에만 급급하다.,중립
ANNE,4,스포일러가 포함되어 내용을 생략했습니다.,긍정
Niknik,3,짜장면이 존재한다고 짜파게티 안먹을거 아니잖아.,긍정
임희봉,2,심각한 배송오류 발생: 레이싱을 시켰는데 정작 받은건 신파와 육탄전,부정
5jp,2,"남는건 세가지

하나~박소담의 액션연기
둘~송새벽의 소름돋는 악역연기
셋~꺼억!",부정
차칸수니리,3,"이야기가 대단히 단순하고 어이가 없지만 박소담의 고생과 미모, 송새벽의 연기라는 장점이 돋보인다. 일자 드라이버를 사용하는 박소담은 존 윅도 도망갈 정도의 파괴력을 보여준다.",긍정
leo,1.5,어설픈 카체이싱과 진부한 감성팔이…,부정
주방장의 잡기술,3,"지옥행 익스프레스

롯데시네마 시사회",긍정
TERU,2.5,"Good : 카체이스가 많진 않지만 등장하면 일단 좋다.
Caution : 윤리적 고민이 엿보이지 않는 단세포 각본",중립
영미남(영화에 미친 남자),2.5,"(46) 정주행으로 잘 달리다, 급회전으로 논밭에 빠져버린.
👍 : 미덕 있는 카체이싱 액션,
👎 : 아역배우의 아쉬운 연기와 후반 급전개,
스토리 8/20 연기 7/20 연출 9/20 재미 22/40",중립
양기자 (YCU),3,나쁘지 않은 <베이비 드라이버>와 <아저씨>의 '주인공' 젠더 스와프. <뺑반> 때 카체이싱을 좀 이렇게 찍지 싶었던 걸 이제야 조금 보완하는 몇몇 장면들. <기생충>의 박소담과 정현준이 다시 만나서 보여주는 케미도 좋았다. 솔직히 박소담이 이렇게 액션 보여주는데 마다할 수 없...,긍정
예비 작가 장시우,2,"물건만 빨리 배송한다고 특송인 건 아니지.
“내용물 다 박살 났잖아”",부정
스탕달,1,"애당초 딱히 할 얘기가 없었던.
별로 특송도 아니었던.",부정
모나드25,3,기존 성공작에서 모티프를 오려 붙이는 모자이크. 독창적인 맛이 없음.박소담에겐 무리인 역할.,긍정
문준모,3,"물건 배송을 했는데 하나가 오배송이 나버릴때.
.
MBC에서 틀어주길래 본 작품. 솔직히 <레옹>+<트랜스포터>+<베이비 드라이버>의 기시감이 가득 차 있는 작품인데, 그래도 중반부까진 그러려니 하면서 봤다. 박소담 배우도 나름 매력있기도 하고, <서울대작전>이나 <뺑반>에 비하면 나름 나쁘지 않다고 생각했었는데 후반부로 갈수록 영화의 페이스가 급격히 무너지는 느낌. 갑자기 얘가 사실은 이랬지롱 이라던가 클라이막스가 너무 약하다는 인상도 받았다. 후반부만 다시 잘라서 만들어버리기도 싶음. 진짜 박소담 배우 아니었으면 이만큼도 안됐을것 같은 느낌. 사실 마지막에 카체이싱 나올까 기대했는데 이건 밑에서 이야기해야할듯.
레옹을 본 사람들이라면 이게 뭐지? 싶을 수도 있을 작품. 그래도 서울대작전이나 뺑반에 비하면 선녀급이다.
.
.
.
.
.
.
.
.
.
.
스포
.
.
.
.
.
.
.
.
.
.
젠장 2000만원 주고 고물차 포텐샤를 샀으면 그걸로라도 카체이싱 할 줄 알았는데 그런것도 없다. 갑자기 탈북자 출신, 얘가 싸움잘하는 킬러 류의 설정이 붙어버리면서 후반부는 그냥 개싸움 액션이다. 이럴거면 영화 중반에 혼자 쳐들어가서 무쌍 찍었어도 됐을 각... 여러분 전 카체이스씬을 더 보고싶었다구요.
+박소담 배우 아니었으면 진작 다른채널 돌렸을듯. 그래도 꽤 매력있게 나오셔서 좋았음. 다음 차기작은 언제...
+송새벽 배우는 레옹의 게리 올드만을 너무 노린것 같다. 옷 스타일링, 캐릭터 설정이 너무 똑같잖아, 그래도 배우분 연기는 괜찮았음.
+김의성 배우는 여기서도 준수한 연기를 보여주시더라. 그리고 후반부에 극 퇴장 당할때 부터 영화가 아예 무너져버린다.
+꼬마 역에는 정현준 배우. 기생충에 다송이 역을 맡은 배우이다. 박소담과는 이렇게 또 만나네. 근데 캐릭터는 그냥 걸어다니는 항암제급;;
+이 서원이의 아빠는 연우진 배우가 나온다. 인민을 위해 복무하라에 나오신 분인데, 여기서는 느낌이 완전 다르네. 근데 캐릭터는 나 죽여줘!라고 홍보하시는 느낌.
+송새벽의 파트너 형사는 허동원 배우. 범죄도시 시리즈에서 오형균 형사 역을 맡은 그 배우 맞다.
+최덕문 배우도 잠깐 나오시더라. 이 분도 은근 많이 나오시는듯.
+전석호 배우랑 유승호 배우는 두분 다 감독의 전작 봉이 김선달에 나오셔서 출연하신듯. 유승호는 사진으로만 나오는데, 속편을 만들면 볼 수 있을까?",긍정
제제*,1.5,한국영화는 언제부턴가 의미있는 원작에 이상한 정서와 혈기를 주입하느라 베끼는 것조차 제대로 하지 못한다. 자동차로 본연만의 색을 내뿜는 액션을 선보인 영화들 중 하나인 베이비 드라이버는 특유의 리듬감으로 경쾌함을 불러일으켰고 같은 부류에 해당하는 드라이브는 차가움과 뜨거움을 한 번에 지닌 뛰어난 영화였다. 하지만 특송은 본인만이 할 수 있는 장기를 도통 찾지를 못하는 모양새던데 한마디로 진부하면서도 그 어떠한 깊이감을 이 작품에선 도무지 찾아볼 수가 없었다. 영화의 내용은 '왜?'와 '어째서?'를 연발하게 만들만큼 한 줌의 설득력조차 갖추지 못했는데 이는 곧 박소담 캐릭터가 위치한 어중간한 지점에 큰 영향을 끼침과 더불어 배우 개인의 매력마저 처참히 작살내버리는 1타 2피의 파괴력을 지녔다. 송새벽은 본인만의 연기 방식이 가뜩이나 진부한 캐릭터에 어설프게 덧입혀져 어색했고 아역 배우인 정현준은 봉준호의 연기 디렉팅이 얼마나 대단했었는지를 여실히 들어낸다. 한현민은 정말 왜 출연한건지 모르겠다. 물론 베끼고 그만큼 많이 참고한건지 아니면 본인만의 역량으로 정성껏 쌓아올려 완성한 탑의 결과물이 이런건진 잘 모르겠으나 필요 이상의 욕심은 항상 화를 부른다는 사실은 잘 알았으면 좋겠다.,부정
idaein,2,"차라리 카액션씬이나 많이 넣었으면 하는 아쉬움이 계속 들었다. 또 하나 건질건 송새벽의 악역 연기.
[CGV VIP 시사회]",부정
헵번공주,4,스포일러가 포함되어 내용을 생략했습니다.,긍정
잠이와요,3,피곤한 영화다,긍정
타퇴엽절,3.5,"시작과 동시에 관객들을 사로잡는 은하의 드라이빙 테크닉과 몸을 사리지 않는 은하의 드라이버 액션이 <특송>의 가장 큰 매력 포인트이다..!! 살짝 늘어지는 중반부와 진부한 결말이 다소 흠이긴 하지만, 즐길거리가 충분한 오락 영화이다..^^",긍정
CHAEYOOE,3,아이가 동승했어도 세상 쿨한 드라이빙.,긍정
모란,1.5,"흠. 박소담의 액션과 자동차 추격신은 볼만했지만
그 외 이야기나 연출은 다 그저그랬다
.
2022.1.13.목.전주 롯데시네마",부정
세훈,3,풀어 놓아야 할 이야기를 굳이 감춰둔 점이 오만하게 느껴지기까지 했다. 이걸 시리즈로 만들어 볼 생각을 했다는 게…,긍정
오경문,2,"특송이라면서 등기우편보다 느리면 어떻게하나
-22.01.14 메가박스 창원내서",부정
라이너스,3,"유튜브를 보며 간단하게 만들어 먹을 수 있는 요리를 3~4개 정도 재료부터 조리까지는 열심히 했는데… 식탁까지 가는 길이 험난한지… 일부는 흘리고, 또 다른 일부는 섞어버렸다.
-
그래도 박소담이라는 출중한 배우는 주연의 임무에 충실, 영화를 2시간 끌고가는 힘을 가졌더라.",긍정
TK Lee,5,"난 이정도면 베스트를 다한거 같은데. ㅎㅎ
박소담 매력 있네. 괜히 기생충 배우가 아니었어.
근데 쿠키에 나온 얼굴이 누구? 난 눈썰미가 없어서. ㅜㅜ",긍정
영사남,2.5,박소담이 채운 캐릭터의 매력을 장착한 채 목적을 충실히 수행한다,중립
Eomky,1,"시종일관 울먹이는 어린 아이의 징징거림같은 영화.
-맥거핀처럼 소비해버린 오프닝의 카체이싱을 극 안에 녹여 냈더라면.
2022년  1월 16일 롯데시네마 서울대입구",부정
Moretz,2.5,5년간 한국영화 최고악역 송새벽,중립
이송원,3.5,자동차씬이 좀더 많이 나왔더라면,긍정
왕은혜,2.5,"아이때문에 고생을 사서한다
곳곳에 빈틈이 많이 보이는 영화",중립
망고무비,1.5,"하자 물건, 반품이요.",부정
jarr,3,"운전도 내가하고 싸움도 내가하고..
인생은 혼자 가는 거야. 낫 배드.",긍정
시바견,2.5,폼나게 배달하는 것에만 몰두한  안특급 배송,중립
SalmON,2.5,특송이라면서 빙빙 돌아가는,중립
영화보는 정토끼,1.5,"'눈감고도 찾아갈 수 있을 진부하고 뻔한 영화'
부산이라고 맨날 바다보이는데서 일하고.. 꼰스러운 줄 알자.
이 영화가 그나마 재미있는건 송세벽의 맛깔나는 악역 덕분.
-22.01.04 용산 CGV 특송 시사회",부정
johnpaulmacqueen,0.5,거의없다 보고 기억이 남 ㅋㅋ 나 정말 별 쓰레기까지 다 봤었구나 ㅎㅎ,부정
한스기,2.5,"배우들의 연기와 액션에 비해 경찰의 추격이나 인물들의 배경서사가 빈약하고 흐름도 다른 장르와 비슷한 경향이있다
박소담의 빛나는 활약과 미래가 밝은 현준이
특히 기억에 남는 송새벽의 악역, 훌륭하고 또 보고싶다",중립
도토리,2.5,우리 소담이가 이렇게까지 피땀눈물 흘렸는데 끝까지 아줌마라 부를거니,중립
ㄱ강현우,3,시간때우기론 볼만함 220423,긍정
플루,2.5,"그나마 박소담이기에.
그나마 송새벽이라서.",중립
김영철,2.5,"배우의 매력에만 기댄 채 비포장도로를
덜컹이며 달린다.",중립
Steve,2,"너무나 예측되는 스토리,
영화 초입의 카체이싱이 그나마 이 영화의 끝인 듯",부정
MissH,3.5,"'박소담'이 다한 영화. 연기며 카체이싱 액션, 맨몸 액션 진짜 다채롭게 잘해서 감탄만 나온다.

어찌보면 남성 전유물처럼 보이는 '카체이싱 액션'이라는 장르를 특정 성별로 타깃을 잡지 않는다는 '젠더 인클루시브'화한 영화이기에 영화의 스토리텔링이 지금까지 적어도 수천편을 보아왔던 영화인 듯하지만 분명 다른 영화고 여성 원톱 영화라는데 의미를 두니깐 영화가 정말 극호다. 조약한 내용이라도 이런 영화들이 많이 나와야 여성이 주연으로 한 액션 걸작도 나올 수 있다. 답습하는 거 뭐 어때. 성별만 바꿔도 이렇게 새롭고 짜릿한걸.",긍정
Eunyoung Kim,4.5,뻔하다고들 하는데 주연이 다른거 하나로 매우 새롭습니다 . 배우들이 이 평범한 스토리 안에서 엄청 잘 해줘서 지루하지 않아요. 기대 안하고 봤는데 좋은 영화네요,긍정
은혜,4,"나 생각보다 클리셰 좋아하네..?
2022는 아저씨 아니고 아줌마 인가보다",긍정
씨네필연습생..,5,오기 생겨서 5점 준다. 스토리 자체는 식상할 수 있다. 그러나 국내 여자 주연 영화라는 타이틀 자체가 귀하니까 그것만으로도 볼 이유는 충분하다,긍정
영화잡식주의,2,"박소담 매력 하나로 끝까지 달린 영화
근데 그 매력이 차고 넘쳐서 갠춘
-
덧. 포동아 건강하렴-",부정
영화보는재미,1.5,"이미 티저 영상만으로도 영화 한편 다 봤다. 우리가 이미 다 봤던 영화들을 섞어놓은 작품. 이제 소재가 다 고갈 되었는지 같은 소재 가져다가 전작들을 지우지 못하는 아니 그것보다 더 못한 작품이라면...
한줄평: 제목에서부터 짝퉁스러운 냄새가 난다면...",부정
유지철,2,운전도 하고 싸움도 하고 잠수도 오래 하고.,부정
이혜원,2.5,"2.7 드립니당

카체이싱과 액션에 신경 쏟느라 나머지는 그냥 의무방어전으로 대충 한 듯.

이쯤되면
주인공편 사람들은 그만 용감하고 고문당하기 전에 불자.
이쯤되면
애초에 애를 차에 안 태웠어야 하는 거 아뉘뉘?

왜왜왜
피칠갑과 기나긴 구타가 그렇게 당연한 거야.
맞았다치지 못하고 그대로 다 보여줘야 한다는 강박은 언제 멈추는 거야.

박소담 얼굴 너무 앳되고 귀여워서 표정이 잘 안보이는 것도 아쉽고
꼬마애가 너무 영특해서 살짝 징그러운 것도 좀 그랬다.
십오 년 쯤 후면 이 커플 가능성 있겠네.",중립
차강운,2,킬링타임이라도 해주면 안될까???,부정
알파카 발바닥,2,특송이 아니라 트림이었네,부정
정영훈,2.5,공장에서 찍어 낸 공산품 같은 영화다. 뇌를 비우고 보면 된다.,중립
클로즈-업,2.5,해피엔딩 강박이라도 있는 듯한 결말,중립
na,3,"전형적인 한국영화지만 카체이싱과 전반적인 이야기 흐름, 액션, 캐릭터의 유니크함은 괜찮아서 재밌게 봤다",긍정
지구별여행가,2,박소담이 영화 멱살을 잡고 억지로 끌고간다  송새벽 악역연기는 덤,부정
Eagleeye17,2,소모된 게 아쉬운 몇몇 독특한 캐릭터들.,부정
dinozzo,3,"박은하 a.k.a 글로리아, 다송이를 배송하는 특송 미션",긍정
DK,,"[22.01.12.개봉 / 관객수 444,438명]
[크랭크인/업 19.05.29.-19.10.26.]
+ 스트리밍: 애플티비+, wavve, 티빙",알 수 없음
문혁준,2,어디서 본 멋진 것들을 짜집기한들 코어가 약하면 말짱도루묵.,부정
앙리,2,발암,부정
뭘봐요,2.5,안되는 건 안되는 거다.,중립
니콜라이,3,박소담이 다한영화,긍정
lastal,2,한국영화 쌈마이 느낌은 언제 빠질려나,부정
맨드로바,2,"이 영화만의 특별함은 없는 것 같고, 박소담의 액션만 기억난다.

또 본격적인 이야기가 펼쳐지는 구간의 개연성은 직진하다말고 양방향으로 흩어지는 것 같다.",부정
breathtaking!,2,"15세 치고는 잔인한듯.
자동차 액션은 굿, 스토리는 쉣.
감정선 공감도 안되고... 송새벽 센척하는 연기는  어색해서 못봐주겠다.
.
근데 어린애라도 박소담뻘이면 보통 이모라고 하지 않나? 아줌마라니...",부정
별빠,3,"일자 드라이버의 작렬, 액션 「드라이브」의 엣지, ‘송새벽’의 물오른 무게감, ‘박소담’의 발빠른 기동력, 예상되는 전개 속에서 놓치지않는, 안정적인 흐름의 호흡, 특별하지 않은 장르적인 스타일의 조합, 익숙해진 동정과 연민을 담은 「담보」 전송.",긍정
BeBe,3,"기승전결마다 조금씩 부족한 킬링타임 무비
그래도 중간중간 건질 것은 있었다!!
소담님 다음 영화는 허리우드 액션 어떠신가요??",긍정
랩퍼 M군,2,시원시원한 액션영화인 줄 알았더니 왜 또 담보야,부정
롯데폐인,4,트랜스포터 한국판. 수갑 푸는기술도 좋나봐~~,긍정
오영화,2.5,오프닝만큼은 한국판 트랜스포터네,중립
Gooson,2.5,"베이비 드라이버 한 스푼,
레옹 한 스푼,
아저씨 한 스푼,
감성팔이 열 스푼.",중립
coenjung,3,아역 빼고는 괜찮은 오락영화 따지면 끝도없다.,긍정
강진주,3,진짜 어설프고 개연성 없고 뻔한 클리셰 범벅인데… 재밌었다;; ㅋㅋ ㅋㅋ 신기하네…,긍정
최현진,2,"초반 10분은 제법 잘 배낀 <베이비 드라이버>의 유사작, 하지만 결국 그 이후론 닳고 닳은 한국형 범죄 영화의 고리타분한 답습.
<베테랑>의 조태오 이후, 영화에 잘 녹아들기보다 시상식 트로피에 더 초점을 맞춘 듯한 악역 캐릭터들이 등장하기 시작했다.",부정
보고리뷰,2,"맛 없는 짬뽕탕에서 건질 건 운전 뿐.

짬뽕도 이런 짬뽕이 없다! 《레옹》, 《아저씨》의 스토리 플롯에 《베이비 드라이버》와 컨셉이 겹치는데다가 《드라이브》의 캐릭터 특징과 묘하게 닮아있는 무슨 잡탕같은 영화가 어디있을까 했는데 여기 있다! 왜 사람들이 보면서 다른 작품들이 생각났다고 한 이유를 관람하면서 절실히 느꼈다. 이정도면 너무하다고 생각될 만큼 각본을 그냥 건성으로 제작한 게 아닐까 싶을 정도다. 스토리, 플롯에 대해서는 더 이상 할 말이 없다. 이렇게 맛 없고 영양가 없는 짬뽕을 누가 먹겠는가? 그냥 말 없이 먹거나, 말 없이 손절칠 것이다. 이 영화가 딱 그 모양이다.

그렇다면 이 영화는 정녕 좋은 요소가 없는 것인가? 다행히 그렇진 않다. 마치 일주일 전에 개봉한 《씽2게더》처럼 개연성은 말아먹고 다른 요소에서 큰 점수를 얻어간다. 다른 작품과 컨셉이 비슷한 건 좀 그렇지만, 운전을 통한 장소적 배경활용은 정말 감탄이 나올 정도로 훌륭했다. 부산광역시가 여러모로 많이 나오는데, 부산 특유의 수많은 골목길과 커브길을 오가면서 좋은 의미의 한국적 정서를 작품 속에 진득히 녹여냈다. 거기에 곁들인 운전기술은 그야말로 입이 떡 벌어졌다. 특히나 초반 도입부에서의 운전씬은 스릴감도 있으면서 쾌감도 돋는 제대로 된 장면이었다.

이와 더불어 작중 삽입된 음악들은 《베이비 드라이버》만큼은 못하지만 그래도 요정도면 상황에 잘맞추어 몰입감 있게 들렸다고 생각된다. 연기 또한 일부 조연의 연기를 제외하면 전체적으로 마음에 들었다.

그럼에도 불구하고, 이 영화는 흠 잡을 게 너무나 많고 어디선가 봤던 걸 어설프게 모방한 것처럼 느껴지는 부분들이 너무나 많다. 이런 영화에 나온 배우들이 아까울 정도다. '범죄오락액션'을 내세우는 한국 영화는 웬만하면 거르는게 정답인듯 하다. 대중성을 잡으면서 호평받는 해외 작품들도 많은데 한국 영화계는 왜 계속 이런 영화를 양산해나가는지.. 배급사나 기업 입장에서는 돈만 번쩍 벌면 되겠지만, 관객들도 이러한 영화를 계속 보면 볼수록 지칠 수 밖에 없을 것이다. 지금의 한국 상업영화계는 비유하자면 '트랜스포머 시리즈' 같다. 시리즈가 가면 갈수록 평은 나빠지고 흥행도 끝에 가서는 나빠져서 시리즈가 중단된 그 트랜스포머 시리즈 말이다. 제발 그런 꼴은 나지 않길 바랄 뿐이다.",부정
킴지,1.5,빈 통에 포장도 엉망,부정
또로로,3,주인공은 박소담인데 송새벽 나오는 장면들을 더 힘 줘서 찍었네요 왜죠,긍정
Quavo,2,꼬맹이가 뭐라고 지랄이냐 진짜,부정
문화는 인문학이다,0.5,"딱 봐도 핵노잼. 기대감 0
송새벽 혹시 레옹의 게리 올드만 따라했니??",부정
