사용자,평점,댓글 내용,감정
다솜땅,3.5,"조금 완성 덜된 모습이었지만, 열정적이었고 불타올랐으며 최고의 연기들을 보여주는 씬들의 집합이었다.
노력하는 배우 윤계상이야 정평이 나있지만, 오랜만에 영화에서 보이는 박용우의 박력있는 카르스마와 광끼어린 집착의 모습들이 다른 여느 영화어서 보여주던 어떤 '쪼'를 벗어난! 이제서야 자신감을 가진 박용우의 모습이었다.
완성도가 조금만더 해졌으면, 이해시키는데 너무 돌아가지 않았다면! 더 훌륭했을 영화였지만, 요즘시기에 이정도면 충분하지!! ㅎ
#21.12.21 (1376)",긍정
팬서,2,이야기의 시작은 언제나 소재지만 결국 마무리 짓는 건 내러티브의 몫.,부정
윤제아빠,1,"영화 보다가 내정신이 이탈했다.
.
.
#정리가안되면만들지말기를
#캐릭터들이부각되지않으니
#캐릭터가아닌배우로보인다
#아무리생각이기발하다해도
#발로만든수준은어쩔수없다",부정
영화보고 밥먹고 커피마시고 산책해요,3,"신선하고 흥미로운 설정이 였지만, 12시간마다 몸이 바뀌는 이유와 그 단서를 찾아가는 플롯자체가 너무 단조롭고 손쉬워서 성의 없어 보이기까지 한다.

때문에 초반에 쌓아올린 긴장감이 후반으로 갈 수록 떨어지고, 그 정체가 궁금하던 인물들은 한순간에 개연성 없는 도구로 전락해 버린다.

속도감 있는 액션씬은 유일하게 만족스러운 부분..",긍정
HBJ,2.5,"'유체이탈자'는 12시간마다 다른 사람의 몸으로 들어가며 자신이 왜 이렇게 됐는지를 추적하는 주인공에 대한 액션 스릴러다. 꽤나 좋은 액션 연출을 선보이지만 캐릭터들이 다소 아쉬운 이 영화는 전반적으로 뭔가 아쉽다.

영화의 설정 자체는 '뷰티 인사이드'나 '에브리데이', 그리고 조금 더 닮은 꼴로는 '에브리타임 아이 다이' 같은 영화들에서 봤기 때문에 엄청 신선하다는 느낌은 아니였지만, 이를 홍콩 느와르를 기반으로 한 듯한 액션 스릴러로 연출했다는 점이 새로웠다. 광각 스테디캠을 아주 적극적으로 활용하는 이 영화는 계속해서 바뀌는 공간을 최대한 담아내려고 하면서, 동시에 액션 씬에서는 동작들을 아주 역동적으로 담기도 한다. 액션 스타일은 '아저씨'와 '존 윅'을 많이 연상시켰으며, 상당히 깔끔하면서도 처절하고 폭력적인 느낌도 충만했다.

하지만 영화의 가장 큰 단점은 이야기에 있는 듯하다. 설정 자체를 흥미롭게 썼다고 생각한 구간은 한두개 정도이며, 나머지는 그냥 미스터리를 쉽게 풀기 위한 장치 정도 밖에 안 됐다. 개인적으로 가장 아쉬웠던 점은 캐릭터들을 너무 시시하게 활용한 점이었다. 박용우, 우강민, 서현우 등의 악역들은 그래도 악역답게 잘 쓴 느낌이 있는데, 임지연과 박지환의 캐릭터들은 너무 도구적으로 사용되거나 답답하게 쓰여서 아쉬웠다. 윤계상도 전반부는 좀 너무 어리버리하게 느껴져서 재미있게 느껴지지 않았는데 그래도 후반부로 가면서 카리스마를 되찾으며 주연 역할을 잘 해줬다.",중립
영미남(영화에 미친 남자),2,"(39) 처참한 연출이 배우 연기마저 똥칠.
👍 : 소재만,
👎 : 총체적 난국,
스토리 8/20 연기 9/20 연출 6/20 재미 16/40",부정
JY,2.5,"초반에는 그래도 영화들이 떠올랐는데
뒤로갈수록 만화 생각만 난다",중립
DarthSkywalker,2,요즘 한국영화계는 소재와 배우만 좋고 각본은 발로 쓰는듯.,부정
Random cul,3,"아이디어는 좋았지만 정신없는 느낌.
갈수록 풀어가기에는 너무 갑자기 나온 결말.
막판 액션씬에 많이 공들인듯.",긍정
뚱이에요,1.5,"소재부터 각본, 연출까지 뭐 하나 제대로
정리된게 없다보니 난장판이 따로없다.
아이디어만 좋다고 무작정 만들면 안되는 이유.",부정
겨울비,2.5,"액션은 좋은데..

+ 유대리만 불쌍해",중립
TERU,2.5,"Good : 신선한 하이컨셉트(아이디어)
Caution : 기획단계에서 멈춰버린 창의력!",중립
주령,2.5,"조용히 처리해야 할 일들을 최대한 시끌시끌하게

몇억짜리 신종마약도 가방에 고이 들고 다니시는 분들이 수면제를 안 챙겨서 이 사단을 만드나",중립
idaein,2.5,"신선한 소재로 인한 몰입도는 어느정도 괜찮으나 스토리 전개 방식이나 캐릭터 활용이 한계에 부딪힌게 흠.
[CGV VIP 시사회]",중립
leo,2,소재는 흥미로운데 산만하고 수습이 안된다,부정
나홍진,4.5,"재밌다

근데 영화설정이  좀이해가

박용우 연기 멋지다.",긍정
권준희,2,이 안에 나 있냐.,부정
이진구,2.5,"좋게 보려고 해도, 이안과 진아의 차량 추격씬은 정말이지 듣고 있기 힘들었다",중립
토깽이산책,3,"초반 : 그동안 못 보던 한국형 액션스릴러
중후반 : 그동안 보던 한국형 액션스릴러

실타래가 풀리면서 급격히 긴장감이 떨어졌다. 배우들의 열연은 대단했는데.",긍정
타퇴엽절,3,"흔하지 않은 소재와 미스터리한 스토리, 진아의 강렬한 눈빛과 배우들의 진중한 연기, 압도적인 마지막 액션 시퀀스.. 노잼이라는 혹평 때문에 조금 걱정을 했지만, 우려와는 달리 매력적인 요소가 많아서 재미있게 관람했다..^^",긍정
ㅠㄹ,2,"좋은 소재가 있으면 뭐하나, 그걸 풀어갈 수 있어야지.",부정
Niknik,3,논리로 풀지 못하는 미완성 줄기. 그걸 가려보려는 멋부림,긍정
문준모,4,"<뷰티 인사이드>를 액션영화로 해석한다면?
.
메가박스 코엑스 무대인사 회차 감상.
사실 별 기대감도 없던 작품. 초반 설정이 참 흥미로운데, 어떻게 저렇게 될까 라는 궁금증을 계속 하게 만든다. 신분이 바뀌는 주인공 윤계상, 그를 쫓아다니는 박용우, 주인공을 찾기위해 고군분투하는 임지연 배우의 캐릭터나, 후반부로 갈수록 밝혀지는 진실은 한국영화에서 찾아볼 수 있는 흔해터진 설정이지만, 배우들의 연기가 거의 살린듯. 모터쇼 끝나고 무대인사 자리가 나서 보긴 했는데 최소한 돈은 안아까웠던 작품. 위에 기재된 세 배우의 팬이면 재밌게 볼 수 있지 않을까 생각. 근데 찾아보니 생각보다 평이 많이 갈리네. <유령>처럼 평은 별론데 나만 재밌게 본 작품이 될듯. 그래도 <싱크홀>보단 낫다.
.
.
.
.
.
.
.
.
.
스포있음. 이모저모.
.
.
.
.
.
.
.
.
.
.
+윤계상 배우의 고생이 돋보이는 영화. 특히 후반부 액션씬이 나름 괜춘. 무대인사에서 정말 멋있으심. 근데 후반부에 살짝 리미트리스 생각이 나기도.
+박용우 배우의 발군연기. 흔해터진 국정원 간부라는 진부한 캐릭터를 연기로 커버친듯. 이 분 이런 연기 진짜 잘 어울리시더라. 무대인사엔 안 오신..
+임지연 배우의 숏컷이 잘 어울리던 작품. 진짜 이쁘시더라. 무대인사에서도..
+박지환 배우가 출연하시는데 중간중간 은근 개그 포인트가 있는데 나름 나쁘지 않았다. 무대인사에는 못오셨더라.
+부장님 역할에는 유승목 배우. 박지환 배우와는 1987에서....
+유대리 역엔 이성우 배우. 무대인사에서 영화 많이 봐달라고 하시더라 ㅋㅋ
+백상사 역엔 서현우 배우. <남산의 부장들>에서 전두환 보안사령관 역을 하신 그 배우다. 무대인사에서도 오신...
+고 중사역엔 홍기준 배우. 위의 윤계상 배우와 같이 범죄도시에 출연한 배우다 ㅋ
+국정원 국장엔 주진모 배우가 출연하시는데, 이거 영화 <브이아이피>랑 같은 세계관인가:
+중간에 임지연에게 정보와 미니쿠퍼를 제공해주신 그 배우분도 무대인사에 오셨다. 상상도 못했는데...
+고물상(?) 사장으로 나오신 현봉식 배우. 최근 드라마 디피에서 대대장 역으로 나오신 그 분 맞다. 백만원 받고 그렇게...",긍정
차칸수니리,3,다음 상황을 궁금하게 만들어 관객이 지루하지 않는다. 주연 조연 모두 자기의 역에 충실했다.,긍정
천지민,3.5,"소재를 이야기로 잘 표현했습니다.
영화는 스릴러보다는 미스터리에 가깝습니다. 난데없는 상황을 던져놓고 주인공과 같은 시각으로 조금씩 주변을 파악해나가거든요.
이런식으로 다짜고짜 이야기를 끌고 나가는 건 잘하면 그것 자체로 흥미를 묶어둘 수 있지만 욕심 부려서 지나치게 꼬아대면 오히려 지루해집니다. 다행히 영화는 흥미를 끌어내는 쪽이고요.
이야기가 조금씩 밝혀지면서 드러나는 전체 얼개는 그렇게 새로울 건 없지만, 그 정도로 익숙한 이야기에 유체이탈이라는 뜬금없는 소재를 정말 잘 섞어놓았습니다.
다만 윤계상의 어조가 영화 분위기나 인물과 맞지 않는 느낌은 있습니다. 약간 연극의 방언 같기도 하고요. 하나 그럼에도 불구하고 영화가 소재를 풀어내는 방식과 익숙한 이야기에서 기대할 법한 볼 거리까지 잘 챙겨주는 모습은 재밌게 보기에 충분합니다.",긍정
DK,,"[21.11.24. 개봉 / 관객수 818,929명]
+ 제20회 뉴욕아시안영화제 액션시네마상 수상
+ 할리우드 리메이크 제작 확정",알 수 없음
괴무리,3,"액션은 좋았는데
좀 유치하긴하다",긍정
홍석호,3,잘 뽑힌 액션! 가볍게 즐기는 팝콘무비!,긍정
김머그리,4,"윤계상의 액션과 박용우의 신들린 연기 대결, 생각보다 과하지 않아서 좋았다.",긍정
스탕달,1.5,"영화보는 내내 피곤했다.

신비롭고 흥미진진한 이야기를 하고는 있는데
이상하리만치 영화가 촌스럽고 밍밍하다.

액션도 연기도 특별히 기억에 남는게 없다.
지나치게 어이없는 소재가 아닐 수 없다.",부정
슬기로운 영화생활,2.5,"이안에 너있다 ㅎㅎ
마피아게임을 좀 크게 하시는 느낌이랄까…;;",중립
재밌으면 우는 고양이,3.5,냐아앙!!냐아아~아아앙-~~,긍정
신 하우 평론,2.5,"나름 좋은 소재와 액션을 가지고
왜 ㅜㅜㅜㅜㅜ",중립
SalmON,2,정작 (조금) 흥미로운 건 소재도 이야기도 아닌 액션뿐,부정
유권민,2,"난 소재도 그리 특색있다는 생각 안들더라.
난잡한 연출의 범작.
임지연의 마스크가 참 매력적이라고 느낀게 유일한 소득이다.",부정
SS,3.5,"1. 집념의 사랑이 일군 기적.
2. 기대를 내려놓은 덕분에 꽤 몰입해서 봤다.",긍정
쯔욧,3,뭐 액션은 볼만 하네요.,긍정
dinozzo,3,"시작 후 한 시간은 걸작의 향기가 날 만큼 멋스럽다. 후반 한 시간과 굳이 아니어도 됐을 룸살롱 배경, 또 다시 너무 아쉬운 여성 캐릭터는…???",긍정
붉은 돼지,3,흥미로운 소재와 액션에 비해 캐스팅과 연출의 디테일이 많이 아쉽다,긍정
수리진,2,그래도 끝까지 다 봤으니까~,부정
ㄱ강현우,1,한마디로 재미없음 220528,부정
제제*,2,소재만 그럴 듯 하지 제대로 해낸 게 없는 영화. 치밀하게 짜여졌어야 할 영화가 앞으로 돌진하기에만 바쁘니 신선한 소재로 풀어갈 이야기가 적절히 선택되지 못한 느낌마저 받게 된다. 심지어 이야기의 발단과 상황 자체의 당위성도 떨어지는데 수습할 역량이 안되니 플래시백을 활용해 만회해보려 할땐 되려 영화의 촌스러움만 키우는 꼴이 됐다.,부정
랩퍼 M군,4.5,"난 너무 재밌게 봤는데 지루하지도않고 코믹요소도 있고 액션도 멋지고...

- 메가박스 이수 -",긍정
푸리,2.5,몰입에서 이탈하는데 오래걸리지 않았다.,중립
또치,3,"유치한데 유치하다고 재미 없는건 아니잖아? 그렇지만 재밌었다고 말하기도 힘든 그 정도.

#2022.05.29 (12)

#오늘 본건 아니지만 최근에 본거라 같이 쓴다",긍정
오경문,2.5,"한국의 존윅이라구요?
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",중립
BeBe,2.5,아 뒷심이 많이 부족하다!!! 😭,중립
J Kim,1.5,도대체 뭐래는건지,부정
이송원,4.5,내게는 절절한 로맨스영화,긍정
김효석,2,"전형적인, ‘구상은 좋았으나 연출이 난국’인 작품",부정
영사남,2.5,"소재를 위한 액션이 아닌, 액션을 위한 소재",중립
개가오,3.5,"상업적인 측면에서 계획을 잘 새운 영화였다.

소재를 끝까지 붙들어 놓지를 않고
몰입감을 주고 유지할 장치가 효과적이었다.

또한 수려하고 감각적인 연출과 분위기를 깨지 않도록
과하지 않은 유머와 액션이 가미되었다.

12시간마다 몸이 바뀐다는 소재로 목적의식의 변환과 위기의식이 성립됐고

전반적으로 미스터리함을 유지하며
목적지를 향해 나아가 어렵지 않게 몰입할 수 있었다.

다만 이야기가 진행되어 후반부로 갈수록 힘이 점점 떨어진다.

특히 본격적인 이야기 풀이가 시작되면서  작품이 가진 기획의 한계에 부딪혀
결과만을 바라보는 여러모로 미적지근한 스토리라인이 되어버렸다.

즉 정작 소재를 풀어 파고들려고 하지만
깊이감이 부족하고 서사는 텅텅비었으며

작품 전반에 깔린 의문과 흥미에 비해 맥아리 없고 딱히 특색있거나
궁금하지 않은 이야기를 미스터리하게 풀어낸 느낌이었다.

더불어 작품이 가진 의문이 제대로 풀리지도 않았고
단지 소재 그 자체만 도드라질 뿐이었다.

차라리 초중반부에 밝히고 이야기 풀이에 집중하고
추리하는 과정이 돋보였다면 더 좋은 결과물이 되었을 것 같다.

덕분에 영화가 이펙트와 여운이 없는 대신
골 아플 일이 없이 쉽게 받아들일 수 있었다.

대단히 좋지도 나쁘지도 않은 한번쯤 볼만한 것 같다.

아쉬운 대신 분명 좋았던 부분도 있어 상업 영화로 가볍게 즐기기엔 부족함 없는
15세 이용가 영화였다.",긍정
현빈,3,영화가 시작할때 느낀 신선함 뒤에 어떻게 끝낼까 라는 걱정이 영화가 끝나면서 현실이 되었다.,긍정
Mean Han,2.5,"아이디어보다 작은 이야기,아이디어보다 작은 영화",중립
황민철,2.5,"타이틀 값을 제대로 하겠다고 마음을 먹은 것인지 각본부터 전개 모두 유체이탈한 것처럼 엉망진창이다. 신선한 소재를 꺼내든 것까지는 좋았지만, 전개와 설정에 있어서 최소한의 설득력도 갖추지 못한 채 무작정 들이미는 이야기에 몰입이 될 리가 없다. 스토리텔링이 되지 않는 영화는 부족함을 감추기 위해 점점 진부한 액션영화로 변모하며 개성을 잃어버리고, 엉성한 대본과 염치없는 유머같은 자질구레한 단점을 그대로 노출하며 그대로 주저앉는다.",중립
맛스타,2,핫도그를 사랑한 한 남자의 고군분투,부정
실명아니어도좋아,2.5,"1. 문전처리 미숙은 축구에서만 쓰는게 아니다.
2. 설정이 허술해서 액션물이 미스터리 호러물이 되버렸다.
3. 윤계상은 장첸이 인생캐로 끝인건가.
2022.07.05",중립
유지철,1.5,저 정도면 전 세계 과학계와 종교계를 뒤집어놓을 신약 개발 아닌가?,부정
다이루다,3,"윤계상이라 봤다
아주 정신사나워
외화였으면 나의 이해력 부족으로 포기했을듯",긍정
김형태,2.5,유체강탈자네,중립
영화잡식주의,3,킬링타임용으로는 제격,긍정
indie_media_sem,3,호쾌한 액션 영화라기 보단 드라마에 필요한 액션을 보여주는 영화라는 쪽의 비중이 더 큽니다.액션영화 보러왔다가 드라마와 캐릭터에 쏙 빠져서 영화를 봤습니다. 자칫 진부 할 수 있는 설정을 기가막히게 뒤집고 합쳐놔서 관객들이 주인공과 같이 유체이탈을 하는 듯한 느낌으로 재밌게봤습니다.오랜만에 박용우의 똘아이 연기는 소름이 돋았습니디. 박용우 짱!,긍정
MissH,3,소재는 신통방통한데 각본의 역량이 그만큼 뒷받침이 안 되는 게 아쉽다. 그렇지만 팝콘(없는 팝콘) 무비로 손색없었고 타격감도 상당한 액션 영화의 몫은 해내고 있다.,긍정
Dark angel,2.5,유체이탈도 정도껏이지 헷갈린다 헷갈려.,중립
하얀나무,2,인물에 몰입해야 되는 영화인데 몰입을 못하도록 계속 막는다.,부정
미드나잇인파리,2,야심찬 각본의 마무리가 미덥지 못했으니,부정
park,3,"정신없는 첫머리는 물음표, 장면의 찰나들은 느낌표, 그렇게 당도한 결론은 줄임표.",긍정
김은중,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
이팔청춘,3,"액션에 높은 점수를 줘야할지,
뻔함에 낮은 점수를 줘야할지...
윤계상 배우도, 박용우 배우도 멋졌지만
늘 제 몫을 하는 박지환 배우에게 박수를~
[20211122 시사회]",긍정
MOONLIT,3.5,"“누구냐?”
“넌 내가 누구라고 생각하는데”",긍정
니콜라이,1.5,너무난해하다 제대로된 설명이부족한영화..,부정
짠짠이,2.5,차라리 귀신이 낫지,중립
부자연,,"강이안 (윤계상), 박실장 (박용우),  문진아 (임지연) 주연.
윤재근 감독 작품.
진짜 나를 찾기위한 본능적 액션.",알 수 없음
문성준,3,"중반까지는 궁금해 죽어버릴 것 같아서 즐거웠는데, 이 떡밥을 이렇게 한번에 풀어버린다니 ㅠㅜ
여튼, 후반부 액숑이 기가 막혔기에 부족함을 만회한다. 액숀 정말 기가막힌다.",긍정
재우,2.5,지루함에 유체이탈을 경험하다,중립
림군이,2,"저예요, 핫도그",부정
팻트릭,4.5,"윤계상 여친을 도와주는 국정원(?) 비슷한 정보 파트 언니가 예쁘다. 떡씬은 와인바 뒷편 룸들에서 벌어지는데 테이크가 좀 길면 좋았을텐데, 아쉽다. 떡이 짧아서 4.5만 준다.",긍정
Gooson,2.5,강하지만 오래가지 못하는 약빨,중립
이한재,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
찬 / NLMA,3.5,"윤계상의 연기가 매혹적으로 보이게 하는 합.
-
물론 스토리는 단조로울 수 있지만
이어질 수 있게 하는 빵의 대화.",긍정
이용희,1.5,"신데렐라의 기억법. 

최소한의 정보도 없는 1인칭 모드, 취해선 안될 구성이었다. 주인공과 함께 추적하는 그림으로 관객의 몰입을 유도했겠으나, 몰입은 커녕 극도의 답답함만 한껏 느끼게 해준다.
2022년 2월 17일에 봄",부정
Axllow,2.5,12시간마다 몸이바뀌며 카메라효과로 육체가 바뀐부분을 계속 비춰주는 카메라방식은 색다르긴했다. 하지만 12시간은 너무 육체가 빨리 바뀐다는 느낌이 들고 어수선하고 산만하다. 한 육체에 적응도 되기전에 또다시 몸이 바뀌어서 그냥 정신없이 몸만 바뀌다 영화가 끝나는 느낌이다. 악역으로 나온 박용우는 뭔가 이미지상 어울리지 않았고 마지막 약에쩔어 파트너들을 다 죽일땐 아무리 약에 쩔었다지만 저렇게 쉽게 죽일수있는 관계는 아니지않나 생각이든다. 윤계상이 연기를 하지만 사실상 비중은 매우낮아 매력도 느낄수없었다. 나름 신중하게 만든영화지만 뻔한방식과 산만한 연출로 인해 좋은평가를 받긴 힘들어보인다.,중립
롯데폐인,4,"단지 마약으로 유체가 옮겨다닌다는것이 억지스럽지만, 몸을 사리지 않는 연기는 칭찬...",긍정
laundromat,2,상식이탈자,부정
이윤석,2.5,"어이가 없네 ㅋ
화가 난다",중립
이단헌트,3,판타지 말고 범죄 수사물로 갔더라면..,긍정
별빠,3,"‘난 누군가, 또 여긴 어딘가’를 위한 「뷰티 인사이드」, ‘APTX4869’ 보다 ‘에테르 X’, ‘박지환’의 양념 개그, ‘박용우’의 약빤 연기, ‘임지연•윤계상’ 콤비의 ‘본’딴 타격감, 기억상실증, 바디체인지, 타임리미트,다양한 설정의 메리트, 익숙한 패턴의 페널티, 띄엄띄엄 봐도 ‘넷플릭스’표 공산품, 영화의 장르가 ‘なんだ?’",긍정
SUN,2,파워 오브 러브,부정
기록지향적생각아카이브,1.5,그나마 좋았던 건 존윅의 냄새가 살짝 났던 부분이 있다는 것... 하지만 그것마저 향기롭진 못하다,부정
TK Lee,2.5,"왜 여자 몸으론 안들어가.
사랑의 힘인가? ㅎㅎㅎ.
이제 둘만 남았는데.

박용우 오랫만에 반가움.
윤계상의 연기는 계속 아직도 나에겐 뭔가 맞지 않는 듯한.",중립
낡은호출기,2,허접한 아바타가 신고다니는 피묻은 유리구두,부정
이지현,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
민정,5,"윤계상 보고 들어갔다가, 박용우에게 입덕하게 된 영화..❤️",긍정
홍상수,2,"한국영화중에 xx자 xxxx자 이딴거 ㅈㄴ많네 믿거인데
이거 은근 액션은 상타치일거같노",부정
함수정,3.5,"올 겨울 개봉하는 영화 중 승자는 유체이탈자가 될 것 같다.
.
처음부터 끝까지 눈을 떼면 안되게끔 영화가 진행이 되어서 진짜 강이안이 누구냐? 라는 물음을 계속하게 되는 묘한 경험을 하게 되었다.
.
결국 마지막에 왜 이런 일들이 발생했는지가 밝혀지는데 그러면서도 끊임없이 강이안의 의문을 쫓고 있는 나의 모습이 그저 놀라울 뿐..
.
총격액션 뿐 아니라 몸싸움도 정말 실감나게 해서...배우들, 감독들, 특수분장 스텝 하나같이 고생하면서 촬영했다는 말이 무슨 뜻인지 영화를 보면서 알겠더라.
.
아마 영화를 보면 또 보고 싶을거라는 말을 무대인사중에 하던데 진짜 크레딧이 올라갈때 또 봐야겠다는 생각이..
.
윤계상 배우는 물론이고 박용우 배우의 연기가👍👍👍👍
.
너무 과하지도 너무 모자라지도 않는 정말 딱 적당한 선에서 이 영화...너무 잘 만들었다.
.
개봉하면 꼭 또 봐야지.👏👏👏👏
.",긍정
석재현,3,"하드코어하고 개연성과 싱크로율 높은 '뷰티 인사이드'.
'유체이탈자'를 간략하게 표현한다면, '본' 시리즈를 연상케 하는 서사에 '뷰티 인사이드' 같은 설정을 넣어 '존 윅' 같은 격렬함이 추가된 액션이다. 지나치게 과한 조합처럼 보이나 어디 하나 허술함 없이 빈틈을 잘 메우며 상호보완해 시너지를 낸다.
영화는 시작부터 기억을 잃은 강이안(윤계상)의 모습을 보여준다. 자아를 찾아가는 과정에서 의도치 않은 유체이탈이 일어나는데 '뷰티 인사이드'와 다르게 영화 속에서 세운 규칙을 충실히 지킨다. 여기서 본캐를 포함해 7명을 연기하는 윤계상과 강이안의 영혼을 받아들이는 다른 배우들의 싱크로와 합도 잘맞아 흥미를 유발한다. 이를 바탕삼아 꽉꽉 채운 액션 시퀀스들은 눈과 귀를 즐겁게 한다. 모든걸 내걸었다던 윤계상은 장첸('범죄도시')와 어깨를 나란히 할 인생캐릭터를 하나 추가했다.
여기에 어디로 튈 지 모르는 박실장 박용우의 광기와 남성캐릭터들 사이에서 만만치 않은 터프함을 드러내는 문진아로 분한 임지연, 의외의 치트키 박지환까지도 어느 하나 거슬림 없이 잘 어우러진다.",긍정
No name,1,"약을 하면 몸과 영혼이 분리되는 임사체험의 효과가 나타난다매- 몸이 왜 바뀌는거여- 말이 안되잖여-
각본부터 말이 안되는데 영화로 만들어지고 개봉까지 했다...
뭔가 냄새가 나는구먼",부정
문혁준,2,이 영화를 즐기기엔 모범적인 선례가 너무 많다.,부정
방구석 평론가,2.5,소재와 액션은 좋은데 그걸 풀어내는 능력은 영 꽝이다.,중립
이찬희,2.5,"고로케하고 호떡보다는 핫도그를 좋아하는거야
어디서 와서 어디로 가는가 그게 중요한거지",중립
ㄷㅋㅎㅇㅅ,3,"아하 어째서
애틋한 로맨스도 화려한 액션도 다 못잡고 말았단 말인가
신선한 소재 만큼 아쉽다.",긍정
영화는 나의힘,4,왜 평점이 낮은지 이해할 수 없는 거친 터치의 웰메이드 판타지 스릴러,긍정
김웅기,3.5,거칠게 몰아붙이긴 하지만 설정에 잡아먹혀 맴돈다. 그래도 중반까지의 흡입력은 대단.,긍정
Hyuna Jang,2.5,정신없었음ㅠ,중립
곽승현,2,야...이게 참... 웹툰이었으면 찐으로 재미있었겠는데? 고스트 트릭이라는 게임 아시는 분? 혼령인 주인공이 사물에 빙의해서 어찌저찌 해나가는 게임인데 기회되시면 꼭 한번 해보세요.,부정
Hoon,2,흥미로운 소재로 이렇게 지루하게 만드는 것도 힘들텐데...,부정
하주완,3,"'사라진 시간'과 같은 철학적 영화에 액션을 넣은, 꽤나 괜찮은 소재가 될 수 있었으나 액션에 좀 더 비중을 둔 감독의 아쉬운 선택이 있었습니다. 그런데 액션은 또 괜찮아서 할 말은
없넹ㅎ",긍정
